,Domain,Phylum,Class,Order,Family,Genus,Species
OUT759,ID,L,B,Bitter,B,as1,14
OUT760,ID,L,B,Bitter,B,as1,12
OUT761,ID,L,B,Bitter,B,as1,13
OUT762,ID,L,B,Bitter,B,as1,12
OUT763,ID,L,B,Bitter,B,as1,9
OUT764,ID,L,B,Bitter,B,as1,9
OUT765,ID,L,B,Bitter,B,as1,8
OUT766,ID,L,B,Bitter,B,as1,7
OUT767,ID,L,B,Bitter,B,as1,7
OUT768,ID,L,B,non-Bitter,B,as1,4
OUT769,ID,L,B,non-Bitter,B,as1,8
OUT770,ID,L,B,non-Bitter,B,as1,11
OUT771,ID,L,B,non-Bitter,B,as1,4
OUT772,ID,L,B,non-Bitter,B,as1,9
OUT773,ID,L,B,Bitter,B,as1,7
OUT774,ID,L,B,Bitter,B,as1,11
OUT775,ID,L,B,non-Bitter,B,as1,5
OUT776,ID,L,B,Bitter,B,as1,6
OUT777,ID,L,B,Bitter,B,as1,9
